品种,分类,指标代码,指标中文名,单位,参数,适用范围
股票,证券资料,NAME,股票简称,,无参数,沪深股票
股票,证券资料,HISNAME,股票简称(可查历史),,,沪深股票
股票,证券资料,LSNAMEHQ,"股票简称(带标识,可查历史)",,无参数,沪深股票
股票,证券资料,ENGNAME,股票英文简称,,,沪深股票
股票,证券资料,FORMERNAME,股票曾用名,,,沪深股票
股票,证券资料,CODE,股票代码,,无参数,沪深股票
股票,证券资料,EMCODE,东财代码,,无参数,沪深股票
股票,证券资料,ISINCODE,ISIN代码,,无参数,沪深股票
股票,证券资料,SEDOLCODE,SEDOL代码,,无参数,沪深股票
股票,证券资料,CCASSCODE,CCASS股份编码,,无参数,沪深股票
股票,证券资料,STOCKCLASS,股票种类,,无参数,沪深股票
股票,证券资料,LISTDATE,首发上市日,,无参数,沪深股票
股票,证券资料,LISTMKT,上市地点,,无参数,沪深股票
股票,证券资料,STATUS,证券存续状态,-,-,沪深股票
股票,证券资料,ISLISTING,是否上市,,,沪深股票
股票,证券资料,BACKDOOR,是否借壳上市,,,沪深股票
股票,证券资料,BACKDOORDATE,借壳上市日期,,Choice代码,沪深股票
股票,证券资料,DELISTDATE,摘牌日期,,无参数,沪深股票
股票,证券资料,TRADECUR,交易币种,,,沪深股票
股票,证券资料,PARVALUE,股票面值,元,Choice代码,沪深股票
股票,证券资料,DR,已发行DR数量,份,证券代码，交易日期,沪深股票
股票,证券资料,RO,每份DR代表股数,-,证券代码，交易日期,沪深股票
股票,证券资料,STR_CODEH,基础证券代码,,-,沪深股票
股票,证券资料,GDRCODE,同公司GDR代码,-,-,沪深股票
股票,证券资料,GDRNAME,同公司GDR简称,-,-,沪深股票
股票,证券资料,ISSTSTOCK,是否为ST股票,,,沪深股票
股票,证券资料,ISXSTSTOCK,是否为*ST股票,,,沪深股票
股票,证券资料,RISKWARNING,是否属于风险警示板,-,交易日期,沪深股票
股票,证券资料,CAPUNCAPDATE,戴帽摘帽日期,,无参数,沪深股票
股票,证券资料,BLIMPORTINDEXORNOT,是否属于重要指数成份,,所属指数,沪深股票
股票,证券资料,HISBLIMPORTINDEXORNOT,是否属于重要指数成份(可查历史),,"Choice代码,相关指数的Choice代码,交易日期",沪深股票
股票,证券资料,RZRQBIAODI,是否融资融券标的,,交易日期,沪深股票
股票,证券资料,FINPURCHORNOT,是否属于融资标的,,,沪深股票
股票,证券资料,FINSELLORNOT,是否属于融券标的,,,沪深股票
股票,证券资料,STOHSTOCKCONNECTEDORNOT,是否属于沪股通标的,,,沪深股票
股票,证券资料,SHENGUTONGTARGET,是否属于深股通标的,,,沪深股票
股票,证券资料,SHSC,是否沪港通买入标的,-,交易日期,沪深股票
股票,证券资料,SZSC,是否深港通买入标的,,交易日期,沪深股票
股票,证券资料,ASHARECODE,同公司A股代码,,无参数,沪深股票
股票,证券资料,SHARENAMEA,同公司A股简称,,无参数,沪深股票
股票,证券资料,BCODE,同公司B股代码,,无参数,沪深股票
股票,证券资料,BNAME,同公司B股简称,,无参数,沪深股票
股票,证券资料,HCODE,同公司H股代码,,,沪深股票
股票,证券资料,HNAME,同公司H股简称,,,沪深股票
股票,证券资料,HKSHARECODE,同公司港股代码,,无参数,沪深股票
股票,证券资料,HKSHARENAME,同公司港股简称,,无参数,沪深股票
股票,证券资料,MSHARENAME,同公司美股代码,,,沪深股票
股票,证券资料,USSHARENAME,同公司美股简称,-,-,沪深股票
股票,证券资料,STR_CBEBCODE,同公司可转债可交换债代码,,交易日期,沪深股票
股票,证券资料,CBEBNAME,同公司可转债可交换债简称,-,证券代码，交易日期,沪深股票
股票,证券资料,STR_CODENEEQ,同公司新三板代码,-,-,沪深股票
股票,证券资料,BLCONCEPTSORNOT,所属概念板块,,"Choice代码,交易日期",沪深股票
股票,证券资料,LATESTCONCEPT,所属最新概念,-,证券代码，交易日期,沪深股票
股票,证券资料,TRADEMARKET,证券板块,,,沪深股票
股票,证券资料,BLGAINIAN_HIS,所属东财概念指数(可查历史),,"Choice代码,交易日期",沪深股票
股票,证券资料,BLGAINIANCODE_HIS,所属东财概念指数代码(可查历史),,"Choice代码,交易日期",沪深股票
股票,证券资料,TRADEMARKETH,证券板块(可查历史),,,沪深股票
股票,证券资料,SIZE,企业规模分类,,年度,沪深股票
股票,证券资料,DMKH,上市公司信息披露考核,,,沪深股票
股票,证券资料,BLCSRCINDCODE,所属证监会行业指数代码,,行业级别,沪深股票
股票,证券资料,BLCSRCIND,所属证监会行业指数名称,,行业级别,沪深股票
股票,证券资料,BLSWSINDCODE,所属申万行业指数代码,,行业级别,沪深股票
股票,证券资料,BLSWSIND,所属申万行业指数名称,,行业级别,沪深股票
股票,证券资料,BLHSWSINDCODE,所属申万行业指数代码(可查历史),,,沪深股票
股票,证券资料,BLHSWSIND,所属申万行业指数名称(可查历史),,,沪深股票
股票,证券资料,BLEMINDCODE,所属东财行业指数代码,,行业级别,沪深股票
股票,证券资料,BLEMIND,所属东财行业指数名称,,行业级别,沪深股票
股票,证券资料,BLCITICCODE,所属中信行业指数代码,,,沪深股票
股票,证券资料,INDEX_CITICSTYLE,所属中信风格指数名称,-,证券代码，交易日期,沪深股票
股票,证券资料,INDEX_AMACCODELS,所属AMAC行业指数代码(可查历史),,,沪深股票
股票,证券资料,PRF_VALUEDATE,优先股起息日,-,-,沪深股票
股票,证券资料,CM_ISSUECURRENCYCODE,发行币种,,-,沪深股票
股票,行业分类,INDNAMENEW,所属行业名称(最新),-,行业标准、行业级别,沪深股票
股票,行业分类,HISINDNAME,所属行业名称,-,行业标准、行业级别、截止日期,沪深股票
股票,行业分类,SEI,所属战略性新兴产业(最新),-,证券代码，行业类别,沪深股票
股票,行业分类,HSEI,所属战略性新兴产业,-,证券代码，截止日期，行业类别,沪深股票
股票,行业分类,GMJJ2017,"所属国民经济行业名称(2017,最新)",,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,GMJJCODE2017,"所属国民经济行业代码(2017,最新)",,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,HISGMJJ2017,所属国民经济行业名称(2017),-,交易日期、行业级别,沪深股票
股票,行业分类,HISGMJJCODE2017,所属国民经济行业代码(2017),-,交易日期、行业级别,沪深股票
股票,行业分类,HISCSRC,所属证监会行业名称(可查历史),,行业类别、截止日期,沪深股票
股票,行业分类,CSRC,所属证监会行业名称(2001),,参数：门类行业、次类行业、大类行业、种类行业、全部明细,沪深股票
股票,行业分类,CSRCCODE,所属证监会行业代码(2001),,参数：门类行业、次类行业、大类行业、种类行业、全部明细,沪深股票
股票,行业分类,CSRCNEW,"所属证监会行业名称(2012,最新)",,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,CSRCCODENEW,"所属证监会行业代码(2012,最新)",,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,CSRCENG,所属证监会行业英文简称(2012),,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,HISCSRCNEW,所属证监会行业名称(2012),,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,HISCSRCCODENEW,所属证监会行业代码(2012),,参数：门类行业、大类行业、全部明细,沪深股票
股票,行业分类,ZSXNAMEH,所属中上协行业名称,,截止日期，行业类别（门类行业、次类行业、大类行业、全部明细）,沪深股票
股票,行业分类,ZSXCODEH,所属中上协行业代码,,截止日期，行业类别（门类行业、次类行业、大类行业、全部明细）,沪深股票
股票,行业分类,SW,所属申万行业名称(2011),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SWCODE,所属申万行业代码(2011),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SW2014,"所属申万行业名称(2014,最新)",,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SW2014ENG,所属申万行业英文简称(2014),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SW2014CODE,"所属申万行业代码(2014,最新)",,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISSW2014,所属申万行业名称(2014),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISSW2014CODE,所属申万行业代码(2014),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SW2021,"所属申万行业名称(2021,最新)",,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,SW2021CODE,"所属申万行业代码(2021,最新)",,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISSW2021,所属申万行业名称(2021),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISSW2021CODE,所属申万行业代码(2021),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,EMIND,所属东财行业名称(旧),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,EMINDCODE,所属东财行业代码(旧),,行业级别,沪深股票
股票,行业分类,EMIND2016,"所属东财行业名称(2016,最新)",,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,EMINDCODE2016,"所属东财行业代码(2016,最新)",,行业级别,沪深股票
股票,行业分类,HISEMIND2016,所属东财行业名称(2016),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISEMINDCODE2016,所属东财行业代码(2016),,参数：一级行业、二级行业、三级行业、全部明细,沪深股票
股票,行业分类,HISCSIND,所属中证行业名称(可查历史),,,沪深股票
股票,行业分类,CSIND2016,所属中证行业名称(2016),,,沪深股票
股票,行业分类,CSINDCODE2016,所属中证行业代码(2016),,,沪深股票
股票,行业分类,CSIND2021,所属中证行业名称(2021),,,沪深股票
股票,行业分类,CSINDCODE2021,所属中证行业代码(2021),,,沪深股票
股票,行业分类,CITICNAME,所属中信行业名称(可查历史),,,沪深股票
股票,行业分类,HISCITICCODE,所属中信行业代码(可查历史),-,截止日期、行业类别,沪深股票
股票,行业分类,CITIC,所属中信行业名称(旧),,,沪深股票
股票,行业分类,CITICCODE,所属中信行业代码(旧),,,沪深股票
股票,行业分类,CITIC2020,所属中信行业名称(2020),,,沪深股票
股票,行业分类,CITICCODE2020,所属中信行业代码(2020),,,沪深股票
股票,行业分类,GICS,所属GICS行业名称,,,沪深股票
股票,行业分类,GICSENG,所属GICS行业英文简称,,,沪深股票
股票,行业分类,GICSCODE,所属GICS行业代码,,,沪深股票
股票,行业分类,GICSH,所属GICS行业名称(可查历史),,,沪深股票
股票,行业分类,GICSENGH,所属GICS行业代码(可查历史),,,沪深股票
股票,行业分类,CNIIND,所属国证行业名称,-,交易日期、行业级别,沪深股票
股票,行业分类,CNCODE,所属国证行业代码,-,交易日期、行业级别,沪深股票
股票,行业分类,INDUSTRYHDM,所属行业代码(支持历史),,,沪深股票
股票,公司专利,PATENTINVENTNUM,发明专利个数,,-,沪深股票
股票,公司专利,PATENTUTILITYNUM,实用新型专利个数,,-,沪深股票
股票,公司专利,PATENTFDESIGNNUM,外观设计专利个数,,-,沪深股票
股票,公司专利,PATENINTLNUM,国际专利个数,,-,沪深股票
股票,公司专利,PATENTTOTALNUM,专利合计个数,,-,沪深股票
股票,公司专利,PATENTS,公司专利个数(可查历史),,截止日期，专利类型,沪深股票
股票,违规指标,VIOLATIONTYPE,违规类型,,截止日期,沪深股票
股票,违规指标,VIOLATIONOBJECT,违规主体,,截止日期,沪深股票
股票,违规指标,VIOLATIONOBJECTTYPE,违规主体类型,,截止日期,沪深股票
股票,违规指标,HANDLEUNIT,处理单位,,截止日期,沪深股票
股票,违规指标,PUNISHTYPE,处分类型,,截止日期,沪深股票
股票,违规指标,PUNISHSTEP,处分措施,,截止日期,沪深股票
股票,违规指标,PUNISHMONEY,处罚金额(万元),,截止日期,沪深股票
股票,违规指标,VIOLATIONNUM,违规次数,,截止日期,沪深股票
股票,违规指标,VIOLATIONDATE,违规日期,,-,沪深股票
股票,违规指标,LAWSUITNUM,区间诉讼次数,,起始交易日期，截止交易日期【单位】次,沪深股票
股票,违规指标,LAWSUITAMT,区间诉讼涉案金额,,起始交易日期，截止交易日期【单位】次,沪深股票
股票,违规指标,PUNISHNUM,区间违规处罚次数,,起始交易日期，截止交易日期【单位】次,沪深股票
股票,违规指标,PUNISHAMT,区间违规处罚金额,,起始交易日期，截止交易日期【单位】元,沪深股票
股票,违规指标,ACCUSENUM,区间受公开谴责或批评次数,,起始交易日期，截止交易日期【单位】次,沪深股票
股票,占总股本百分比,LIQAPCT,流通A股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,RESTRICTEDAPCT,限售A股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,RESTRICTEDPCT,非流通股占总股本比例 ,,截止日期,沪深股票
股票,占总股本百分比,TOTALAPCT,A股合计占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,LIQBPCT,流通B股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,RESTRICTEDBPCT,限售B股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,TOTALBPCT,B股合计占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,OVERSEAPCT,其他股占总股本比例,,,沪深股票
股票,占总股本百分比,LIQHPCT,流通H股占总股本比例,,,沪深股票
股票,占总股本百分比,RESTRICTEDHPCT,限售H股占总股本比例,,,沪深股票
股票,占总股本百分比,TOTALHPCT,H股合计占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,NONLIQPCT,限售股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,LIQPCT,无限售流通股占总股本比例,%,截止日期,沪深股票
股票,占总股本百分比,FREEFLOATSHRPCT,自由流通股占总股本比例,%,截止日期,沪深股票
股票,限售股份明细,RTDSTATE,限售股份(国家持股),,截止日期，单位,沪深股票
股票,限售股份明细,RTDSTATEJUR,限售股份(国有法人持股),,截至日期、单位,沪深股票
股票,限售股份明细,RTDEXECUTIVES,限售股份(高管人员持股),,截止日期、单位,沪深股票
股票,限售股份明细,RTDSUBOTHERDOMES,限售股份(其他内资持股合计),,截止日期、单位,沪深股票
股票,限售股份明细,RTDDOMESJUR,    其中：限售股份(境内法人持股),,截止日期、单位,沪深股票
股票,限售股份明细,RTDDOMESNP,    限售股份(境内自然人持股),,截止日期、单位,沪深股票
股票,限售股份明细,RTDSUBFRGN,限售股份(外资持股合计),,截止日期、单位,沪深股票
股票,限售股份明细,RTDFRGNJUR,    其中：限售股份(境外法人持股),,截止日期、单位,沪深股票
股票,限售股份明细,RTDFRGNNP,    限售股份(境外自然人持股),,截止日期、单位,沪深股票
股票,限售解禁明细,UNLOCKDATE,(日)限售解禁日期,-,截止日期,沪深股票
股票,限售解禁明细,PERIODUNLOCKAMT,(日)本期流通数量,万股,截止日期,沪深股票
股票,限售解禁明细,TOTALUNLOCKAMT,(日)已流通数量,万股,截止日期,沪深股票
股票,限售解禁明细,LOCKAMNT,(日)未流通数量,万股,截止日期,沪深股票
股票,限售解禁明细,SHARETYPE,(日)流通股份数量类型,-,截止日期,沪深股票
股票,限售解禁明细,PUNLOCKDATE,(区间)限售解禁日期,-,起始日期、截止日期,沪深股票
股票,限售解禁明细,PPERIODUNLOCKAMT,(区间)本期流通数量,万股,起始日期、截止日期,沪深股票
股票,限售解禁明细,PTOTALUNLOCKAMT,(区间)已流通数量,万股,起始日期、截止日期,沪深股票
股票,限售解禁明细,PLOCKAMNT,(区间)未流通数量,万股,起始日期、截止日期,沪深股票
股票,限售解禁明细,UNLOCKINGDATEFWD,指定日之后最近一次解禁日期,,交易日期,沪深股票
股票,限售解禁明细,UNLOCKINGVOLUMEFWD,指定日之后最近一次解禁数量,万股,截止日期,沪深股票
股票,限售解禁明细,UNLOCKINGSHARETYPEFWD,指定日之后最近一次解禁股份性质,-,证券代码，交易日期,沪深股票
股票,限售解禁明细,UNLOCKINGSHAREDATATYPEFWD,指定日之后最近一次解禁数据类型,,交易日期,沪深股票
股票,股本变动,SHARECHANGEDATE,股本变动日期,,截止日期，单位,沪深股票
股票,股本变动,SHARECHANGREPORTDATE,股本变动公告日期,,截止日期，单位,沪深股票
股票,股本变动,SHARECHANGECAUSE,股本变动原因,,截止日期，单位,沪深股票
股票,报告期股东指标,HOLDNAMER,大股东名称,,,沪深股票
股票,报告期股东指标,HOLDAMTR,大股东持股数量,,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDPCTR,大股东持股比例,%,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDSHARETYPER,大股东持股股本性质,,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDTOP10PCTR,前十大股东持股比例合计,%,截止日期,沪深股票
股票,报告期股东指标,HOLDTOP10AMTR,前十大股东持股数量合计,,截止日期、单位,沪深股票
股票,报告期股东指标,HOLDLIQNAMER,流通股东名称,,,沪深股票
股票,报告期股东指标,HOLDLIQAMTR,流通股东持股数量,,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDLIQPCTR,流通股东持股比例,%,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDLIQSHARETYPER,流通股东持股股本性质,,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDTOP10LIQPCTR,前十大流通股东持股比例合计,%,截止日期,沪深股票
股票,报告期股东指标,HOLDTOP10LIQAMTR,前十大流通股东持股数量合计,,截止日期、单位,沪深股票
股票,报告期股东指标,HOLDLIQPCTRTONC,流通股东持股比例(占流通股本),%,截止日期、大股东排名,沪深股票
股票,报告期股东指标,HOLDTOP10LIQPCTRTONC,前十大流通股东持股比例合计(占流通股本),%,截止日期,沪深股票
股票,报告期股东指标,HOLDPLEDGEFROZEN,大股东持股质押或冻结股数,,,沪深股票
股票,报告期股东指标,HOLDLIQNEWNUM,流通股东相对上一报告期新进股东个数,,,沪深股票
股票,报告期股东指标,HOLDLIQNEWPCT,流通股东相对上一报告期新进股东持股比例,,,沪深股票
股票,报告期股东户数指标,STMTHOLDAVGNUM,户均持股数量,股,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDAVGPCT,户均持股比例,%,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDAVGCHGPCT,相对上一报告期户均持股比例差,,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDQAVGCHANGE,户均持股数季度增长率,%,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDQAVGCHGPCT,户均持股比例季度增长率,%,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDHAVGCHANGE,户均持股数半年增长率,%,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDHAVGCHGPCT,户均持股比例半年增长率,%,报告期、股本类型,沪深股票
股票,报告期股东户数指标,STMTHOLDNUM,股东户数,户,报告期,沪深股票
股票,报告期股东户数指标,STMTHOLDTNUM,股东总户数,%,报告期,沪深股票
股票,报告期股东户数指标,STMTHOLDNUMQCHGPCT,股东户数季度增长率,%,报告期,沪深股票
股票,报告期股东户数指标,STMTHOLDNUMHCHGPCT,股东户数半年增长率,%,报告期,沪深股票
股票,报告期股东户数指标,STMTHOLDTNUMQCHGPCT,股东总户数季度增长率,%,报告期,沪深股票
股票,报告期股东户数指标,STMTHOLDTNUMHCHGPCT,股东总户数半年增长率,%,报告期,沪深股票
股票,按公告日期股东户数指标(可回测),HOLDNUMN,股东户数,户,截止日期,沪深股票
股票,按公告日期股东户数指标(可回测),HOLDTNUMN,股东总户数,户,截止日期,沪深股票
股票,按公告日期股东户数指标(可回测),HOLDAVGNUMN,户均持股数量,,截止日期、股本类型,沪深股票
股票,按公告日期股东户数指标(可回测),HOLDAVGPCTN,户均持股比例,%,截止日期、股本类型,沪深股票
股票,机构持股数量,HOLDTOTALBYINST,机构持股数量合计,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYFUND,基金持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYFUNDCORP,基金管理公司持股数量,,,沪深股票
股票,机构持股数量,HOLDTOTALBYFAM,基金资产管理计划持股数量,,,沪深股票
股票,机构持股数量,HOLDTOTALBYBYSEC,券商持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYBYSECAM,券商理财产品持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYQFII,QFII持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYINSUR,保险公司持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYINSURPRO,保险产品持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYSSFUND,社保基金持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYCORPPENSION,企业年金持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYTRUSTCORP,信托公司持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYTRUSTPRO,信托计划持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYFINCORP,财务公司持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYBANK,银行持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYGENERALCORP,一般法人持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYPENSFUND,养老基金持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDTOTALBYNFCORP,非金融类上市公司持股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYINST,机构持流通股数量合计,股,报告期,沪深股票
股票,机构持股数量,JJCYXSGSL,基金持有限售股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYFUND,基金持有流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYFUNDCORP,基金管理公司持流通股数量,,,沪深股票
股票,机构持股数量,HOLDLIQBYFAM,基金管理计划持流通股数量,,,沪深股票
股票,机构持股数量,HOLDLIQBYSEC,券商持有流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYSECAM,券商集合理财持有流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYQFII,QFII持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYINSUR,保险公司持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYINSURPRO,保险产品持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYBANK,银行持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYSSFUND,社保基金持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYNFCORP,非金融类上市公司持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYCORPPENSION,企业年金持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYTRUSTCORP,信托公司持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYTRUSTPRO,信托计划持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYFINANCECORP,财务公司持流通股数量,,,沪深股票
股票,机构持股数量,HOLDLIQBYGENERALCORP,一般法人持流通股数量,股,报告期,沪深股票
股票,机构持股数量,HOLDLIQBYPENSFUND,养老基金持流通股数量,,,沪深股票
股票,机构持股数量,HOLDTOTALBYSPE,阳光私募持股数量,股,报告期,沪深股票
股票,机构持股家数,HOLDINSTNUM,持股机构家数合计,,报告期,沪深股票
股票,机构持股家数,HOLDFUNDNUM,持股基金家数,家,报告期,沪深股票
股票,机构持股家数,HOLDQFIINUM,持股QFII家数,,报告期,沪深股票
股票,机构持股家数,HOLDINSURNUM,持股保险公司家数,家,报告期,沪深股票
股票,机构持股家数,HOLDFAMNUM,持股基金资产管理计划家数,,,沪深股票
股票,机构持股家数,HOLDSECNUM,持股券商家数,,,沪深股票
股票,机构持股家数,HOLDINSURPRONUM,持股保险产品家数,,,沪深股票
股票,机构持股家数,HOLDSECAMNUM,持股券商集合理财家数,,,沪深股票
股票,机构持股家数,HOLDSSFUNDNUM,持股社保基金家数,,报告期,沪深股票
股票,机构持股家数,HOLDCORPPENSIONNUM,持股企业年金家数,,,沪深股票
股票,机构持股家数,HOLDTRUSTCORPNUM,持股信托公司家数,,,沪深股票
股票,机构持股家数,HOLDTRUSTPRONUM,持股信托计划家数,,,沪深股票
股票,机构持股家数,HOLDFINCORPNUM,持股财务公司家数,,,沪深股票
股票,机构持股家数,HOLDBANKNUM,持股银行家数,,,沪深股票
股票,机构持股家数,HOLDNFCORPNUM,持股非金融类上市公司家数,,,沪深股票
股票,机构持股家数,HOLDGENERALCORPNUM,持股一般法人家数,,,沪深股票
股票,机构持股家数,HOLDPENSFUNDNUM,养老基金家数,,,沪深股票
股票,机构持股比例,HOLDPCTBYINST,机构持股比例合计,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYFUND,基金持股比例,%,报告期 、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYFAM,基金资产管理计划持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYGENERALCORP,一般法人持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYSEC,券商持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYSECAM,券商理财产品持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYQFII,QFII持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYSSFUND,社保基金持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYCORPPENSION,企业年金持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYINSUR,保险公司持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYINSURPRO,保险产品持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYINSURANDPRO,保险公司持股比例(含保险产品),%,证券代码，报告期，比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYTRUSTCORP,信托公司持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYTRUSTPRO,信托计划持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYFINCORP,财务公司持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYBANK,银行持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYNFCORP,非金融类上市公司持股比例,%,报告期、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYPENSFUND,养老基金持股比例,,,沪深股票
股票,机构持股比例,HOLDPCTBYWZ,外资持股比例,%,报告期 、比例类型,沪深股票
股票,机构持股比例,HOLDPCTBYPE,阳光私募持股比例,,,沪深股票
股票,机构持股比例,HOLDPCTBYFUND2,基金持股比例(不含锁定股),,,沪深股票
股票,股东高管增减持,HOLDINCREASEANNCDATE,大股东增持公告日期,-,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDINCREASENAME,增持大股东名称,-,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDINCREASETIMES,大股东增持次数,次,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDINCREASENUM,大股东增持数量合计,股,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDINCREASERATE,大股东增持比例合计,%,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDINCREASEANNCDATENEW,大股东增持最新公告日期,-,截止日期,沪深股票
股票,股东高管增减持,HOLDDECREASEANNCDATE,大股东减持公告日期,-,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDDECREASENAME,减持大股东名称,-,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDDECREASEANNCTIMES,大股东减持次数,次,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDDECREASENUM,大股东减持数量合计,股,起始日期、截止日期,沪深股票
股票,股东高管增减持,HOLDDECREASERATE,大股东减持比例合计,%,起始日期、截止日期,沪深股票
