维度,指标规范名,参数,单位
股票基本资料,首发上市日期,,
股票基本资料,成立日期,,
股票基本资料,法人代表,,
股票基本资料,注册资本,,元
股票基本资料,注册地址,截止日期=最新,
股票基本资料,主营业务,截止日期=最新,
股票基本资料,所属同花顺行业,行业级别=一级行业;截止日期=最新,
股票基本资料,所属申万行业,行业级别=一级行业;截止日期=最新,
股票基本资料,所属概念,截止日期=最新,
股票基本资料,公司性质（同花顺）,,
股票基本资料,员工总数,报告期,
股票基本资料,母公司在职员工人数,报告期,
股票基本资料,主要子公司在职员工人数,报告期,
股票基本资料,当期领取薪酬员工总人数,报告期,
股票基本资料,竞争公司,,
股票基本资料,可比公司,,
