维度,指标规范名,参数,单位
板块,成份股个数,,
板块,总市值(合计),,元
板块,总市值(算术平均),,元
板块,市盈率(算术平均),,
板块,市净率(算术平均),,
板块,成份区间涨跌幅(算术平均),,%
板块,成份区间涨跌幅(流通市值加权平均),,%
板块,成份区间涨跌幅(总市值加权平均),,%
