维度,指标规范名,参数,单位
股票ESG,同花顺ESG评级,报告期,
股票ESG,同花顺ESG总评分,报告期,
股票ESG,华证ESG评级,截至日期=最新,
股票ESG,华证碳中和ESG评级,截至日期=最新,
股票ESG,中诚信ESG评级,截至日期=最新,
股票ESG,商道融绿ESG评级,截至日期=最新,
股票ESG,秩鼎ESG评级,截至日期=最新,
股票ESG,ESG环境争议得分,截至日期=最新,
