维度,指标规范名,参数,单位
指数,开盘价,,元
指数,最高价,,元
指数,最低价,,元
指数,收盘价,,元
指数,涨跌,,元
指数,涨跌幅,,%
指数,成交量,,
指数,成交金额,,元
指数,总市值,,元
指数,市盈率（PE）,,
指数,市净率（PB）,,
指数,股息率,,
指数,发布方股息率（总股本）,,
指数,发布方股息率（调整股本）,,
指数,成分股个数,,
指数,周最低价,,元
指数,月最低价,,元
指数,区间最低价,,元
