000088,130.31,交通运输
000089,129.4,交通运输
000099,125.36,交通运输
000429,179.34,交通运输
000507,45.03,交通运输
000520,39.07,交通运输
000548,21.12,交通运输
000557,52.19,交通运输
000582,233.59,交通运输
000755,64.86,交通运输
000828,99.79,交通运输
000886,41.26,交通运输
000900,54.64,交通运输
000905,60.9,交通运输
000906,36.82,交通运输
000927,142.79,交通运输
001202,15.64,交通运输
001205,23.22,交通运输
001213,152.89,交通运输
001220,6.53,交通运输
001228,20.41,交通运输
001317,34.6,交通运输
001391,64.72,交通运输
002010,130.7,交通运输
002040,38.21,交通运输
002120,179.04,交通运输
002320,146.22,交通运输
002357,30.06,交通运输
002468,203.66,交通运输
002485,28.29,交通运输
002492,22.12,交通运输
002682,24.35,交通运输
002769,25.22,交通运输
002800,19.74,交通运输
002889,26.15,交通运输
002928,100.98,交通运输
002930,37.14,交通运输
300013,17.08,交通运输
300240,18.79,交通运输
300350,19.19,交通运输
300873,44.76,交通运输
600004,180.58,交通运输
600012,180.09,交通运输
600017,79.04,交通运输
600020,86.75,交通运输
600033,92.21,交通运输
600035,58.29,交通运输
600057,118.02,交通运输
600106,64.32,交通运输
600119,15.71,交通运输
600125,68.93,交通运输
600153,241.82,交通运输
600179,178.05,交通运输
600180,11.74,交通运输
600269,95.05,交通运输
600279,44.63,交通运输
600368,56.5,交通运输
600428,200.02,交通运输
600515,258.76,交通运输
600548,141.61,交通运输
600561,14.57,交通运输
600603,49.51,交通运输
600611,60.97,交通运输
600650,38.86,交通运输
600704,255.46,交通运输
600717,120.1,交通运输
600751,79.0,交通运输
600753,25.33,交通运输
600755,120.25,交通运输
600787,92.88,交通运输
600794,35.52,交通运输
600798,39.94,交通运输
600834,32.32,交通运输
600897,62.37,交通运输
601000,244.15,交通运输
601008,51.11,交通运输
601022,101.42,交通运输
601083,19.76,交通运输
601107,109.65,交通运输
601156,155.86,交通运输
601188,37.21,交通运输
601228,220.3,交通运输
601326,153.67,交通运输
601333,165.61,交通运输
601518,54.64,交通运输
601598,280.57,交通运输
601866,226.25,交通运输
601880,263.31,交通运输
601975,212.96,交通运输
603006,36.31,交通运输
603066,29.36,交通运输
603069,41.11,交通运输
603117,20.91,交通运输
603128,66.5,交通运输
603162,38.58,交通运输
603167,41.43,交通运输
603209,42.5,交通运输
603329,19.19,交通运输
603535,32.03,交通运输
603565,217.57,交通运输
603569,31.99,交通运输
603648,33.81,交通运输
603713,119.62,交通运输
603813,38.53,交通运输
603836,22.09,交通运输
603871,147.61,交通运输
603885,238.93,交通运输
603967,38.83,交通运输
605050,48.4,交通运输
920351,4.92,交通运输
920571,27.89,交通运输
000156,112.02,传媒
000607,27.88,传媒
000665,43.32,传媒
000676,65.97,传媒
000681,142.06,传媒
000719,76.72,传媒
000793,66.62,传媒
000917,102.48,传媒
002095,33.83,传媒
002181,117.76,传媒
002238,45.1,传媒
002264,38.17,传媒
002291,43.28,传媒
002354,130.54,传媒
002400,113.24,传媒
002712,23.37,传媒
002878,27.86,传媒
002995,20.63,传媒
300061,44.67,传媒
300063,55.63,传媒
300071,33.65,传媒
300148,25.72,传媒
300242,27.86,传媒
300295,17.26,传媒
300364,166.69,传媒
300413,152.03,传媒
300612,20.26,传媒
300654,33.99,传媒
300770,74.82,传媒
300781,32.79,传媒
300785,46.82,传媒
300788,44.99,传媒
300805,21.54,传媒
300987,21.95,传媒
301025,22.75,传媒
301052,18.64,传媒
301102,35.93,传媒
301171,172.65,传媒
301231,17.5,传媒
301262,23.0,传媒
301299,20.77,传媒
301313,42.58,传媒
301551,32.55,传媒
600037,89.49,传媒
600228,40.81,传媒
600229,32.04,传媒
600358,26.81,传媒
600373,92.56,传媒
600551,47.33,传媒
600556,82.43,传媒
600637,287.78,传媒
600640,80.13,传媒
600757,89.8,传媒
600825,48.69,传媒
600831,21.83,传媒
600959,149.52,传媒
600986,110.07,传媒
600996,109.97,传媒
601019,141.49,传媒
601098,178.16,传媒
601801,98.68,传媒
601811,88.53,传媒
601858,148.22,传媒
601900,97.02,传媒
601921,152.89,传媒
601928,224.71,传媒
601929,78.87,传媒
601949,91.39,传媒
601999,30.8,传媒
603000,169.61,传媒
603096,21.16,传媒
603230,31.32,传媒
603466,63.82,传媒
603533,93.22,传媒
603598,48.03,传媒
603602,26.57,传媒
603729,9.92,传媒
603825,15.91,传媒
603888,121.99,传媒
603999,30.01,传媒
605168,119.41,传媒
605577,40.67,传媒
920021,18.47,传媒
000037,31.04,公用事业
000155,232.43,公用事业
000407,33.02,公用事业
000531,58.59,公用事业
000537,157.06,公用事业
000539,171.47,公用事业
000543,176.82,公用事业
000591,174.09,公用事业
000593,83.53,公用事业
000595,63.54,公用事业
000600,99.63,公用事业
000601,64.34,公用事业
000631,67.39,公用事业
000669,25.92,公用事业
000690,105.24,公用事业
000692,21.85,公用事业
000722,54.63,公用事业
000767,117.07,公用事业
000791,150.01,公用事业
000862,30.64,公用事业
000875,176.48,公用事业
000883,288.34,公用事业
000899,99.03,公用事业
000966,141.33,公用事业
000993,46.62,公用事业
001210,28.9,公用事业
001258,66.17,公用事业
001286,147.42,公用事业
001299,29.7,公用事业
001331,137.56,公用事业
001376,23.31,公用事业
001896,283.8,公用事业
002015,283.92,公用事业
002039,81.36,公用事业
002053,80.47,公用事业
002218,53.56,公用事业
002256,76.75,公用事业
002259,30.24,公用事业
002267,73.4,公用事业
002310,95.9,公用事业
002479,38.06,公用事业
002480,39.76,公用事业
002608,278.07,公用事业
002616,26.26,公用事业
002617,168.8,公用事业
002700,30.32,公用事业
002893,20.16,公用事业
002911,124.17,公用事业
003035,226.14,公用事业
300040,31.63,公用事业
300125,33.41,公用事业
300317,33.9,公用事业
300332,34.94,公用事业
300335,19.21,公用事业
600032,170.25,公用事业
600052,30.56,公用事业
600098,225.43,公用事业
600101,44.32,公用事业
600116,108.61,公用事业
600149,17.45,公用事业
600163,97.81,公用事业
600167,123.1,公用事业
600173,42.87,公用事业
600292,59.61,公用事业
600310,60.24,公用事业
600333,31.37,公用事业
600396,224.44,公用事业
600452,147.82,公用事业
600475,138.6,公用事业
600505,39.59,公用事业
600509,114.49,公用事业
600575,132.52,公用事业
600617,48.47,公用事业
600635,104.98,公用事业
600644,46.84,公用事业
600681,43.95,公用事业
600719,34.27,公用事业
600744,133.04,公用事业
600780,68.45,公用事业
600821,130.24,公用事业
600868,51.06,公用事业
600903,93.0,公用事业
600917,73.52,公用事业
600930,156.97,公用事业
600956,165.78,公用事业
600969,28.86,公用事业
600979,49.05,公用事业
600982,55.66,公用事业
601016,216.17,公用事业
601139,164.55,公用事业
601619,102.5,公用事业
601778,170.14,公用事业
601908,71.47,公用事业
603053,75.2,公用事业
603071,64.33,公用事业
603080,27.47,公用事业
603105,35.05,公用事业
603318,43.47,公用事业
603689,37.43,公用事业
603693,114.29,公用事业
603706,35.55,公用事业
605011,63.98,公用事业
605028,32.48,公用事业
605090,240.46,公用事业
605162,35.34,公用事业
605169,25.77,公用事业
605368,44.02,公用事业
605580,84.48,公用事业
920010,15.23,公用事业
920770,9.24,公用事业
000019,24.06,农林牧渔
000048,118.09,农林牧渔
000505,32.57,农林牧渔
000592,131.57,农林牧渔
000663,15.96,农林牧渔
000702,13.31,农林牧渔
000713,32.73,农林牧渔
000735,55.93,农林牧渔
000798,26.23,农林牧渔
