字段代码,字段(大写),中文名,参数
f_info_manager_resume_2,F_INFO_MANAGER_RESUME_2,简历,
f_info_manager_startdate,F_INFO_MANAGER_STARTDATE,任职日期,SEQ
f_info_manager_startdateofmanagercareer,F_INFO_MANAGER_STARTDATEOFMANAGERCAREER,证券从业日期,TopN
f_info_manager_totalgeometricreturn,F_INFO_MANAGER_TOTALGEOMETRICRETURN,任职基金几何总回报,SEQ
f_info_manager_totalnetasset,F_INFO_MANAGER_TOTALNETASSET,任职基金总规模,TopN、UnitVal
f_info_manager_totalnetasset2,F_INFO_MANAGER_TOTALNETASSET2,任职基金总规模(支持历史),TopN、TRADEDATE、UnitVal
f_info_manager_totalnetasset2_2,F_INFO_MANAGER_TOTALNETASSET2_2,任职基金总规模(支持历史),TRADEDATE、UnitVal
f_info_manager_totalnetasset_2,F_INFO_MANAGER_TOTALNETASSET_2,任职基金总规模,UnitVal
f_info_manager_totalreturnoverbenchmark,F_INFO_MANAGER_TOTALRETURNOVERBENCHMARK,超越基准总回报,SEQ
f_info_manager_totalreturnoverbenchmark_2,F_INFO_MANAGER_TOTALRETURNOVERBENCHMARK_2,超越基准总回报,
f_info_managerindex_alpha,F_INFO_MANAGERINDEX_ALPHA,Alpha(基金经理指数),StartDate、EndDate、CalcTerm、CalcMethod、TopN、Underlying_Index、IndexBelong
f_info_managerindex_alpha_2,F_INFO_MANAGERINDEX_ALPHA_2,"Alpha(基金经理指数,算术平均)",StartDate、EndDate、CalcTerm、CalcMethod、Underlying_Index、IndexBelong
f_info_managerindex_beta,F_INFO_MANAGERINDEX_BETA,Beta(基金经理指数),StartDate、EndDate、CalcTerm、CalcMethod、TopN、Underlying_Index、IndexBelong
f_info_managerindex_beta_2,F_INFO_MANAGERINDEX_BETA_2,"Beta(基金经理指数,算术平均)",StartDate、EndDate、CalcTerm、CalcMethod、Underlying_Index、IndexBelong
f_info_managerindex_maxdownside,F_INFO_MANAGERINDEX_MAXDOWNSIDE,基金经理指数最大回撤(算术平均),StartDate、EndDate、TopN、IndexBelong
f_info_managerindex_maxdownside_2,F_INFO_MANAGERINDEX_MAXDOWNSIDE_2,基金经理指数最大回撤(算术平均),StartDate、EndDate、IndexBelong
f_info_managerindex_return,F_INFO_MANAGERINDEX_RETURN,基金经理指数区间回报,StartDate、EndDate、TopN、IndexBelong
f_info_managerindex_return_2,F_INFO_MANAGERINDEX_RETURN_2,基金经理指数区间回报(算术平均),StartDate、EndDate、IndexBelong
f_info_managerindex_sharpe,F_INFO_MANAGERINDEX_SHARPE,Sharpe(基金经理指数),StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、TopN、IndexBelong
f_info_managerindex_sharpe_2,F_INFO_MANAGERINDEX_SHARPE_2,"Sharpe(基金经理指数,算术平均)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、IndexBelong
f_info_managerindex_stdev,F_INFO_MANAGERINDEX_STDEV,基金经理指数收益标准差,StartDate、EndDate、CalcTerm、CalcMethod、TopN、IndexBelong
f_info_managerindex_stdev_2,F_INFO_MANAGERINDEX_STDEV_2,基金经理指数收益标准差(算术平均),StartDate、EndDate、CalcTerm、CalcMethod、IndexBelong
f_info_managerindex_stdevyearly,F_INFO_MANAGERINDEX_STDEVYEARLY,基金经理指数年化波动率,StartDate、EndDate、CalcTerm、CalcMethod、TopN、IndexBelong
f_info_managerindex_stdevyearly_2,F_INFO_MANAGERINDEX_STDEVYEARLY_2,基金经理指数年化波动率(算术平均),StartDate、EndDate、CalcTerm、CalcMethod、IndexBelong
f_info_managerindex_treynor,F_INFO_MANAGERINDEX_TREYNOR,Treynor(基金经理指数),StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、TopN、Underlying_Index、IndexBelong
f_info_managerindex_treynor_2,F_INFO_MANAGERINDEX_TREYNOR_2,"Treynor(基金经理指数,算术平均)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、Underlying_Index、IndexBelong
f_info_managerindex_weight_alpha,F_INFO_MANAGERINDEX_WEIGHT_ALPHA,"Alpha(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、TopN、Underlying_Index、IndexBelong
f_info_managerindex_weight_alpha_2,F_INFO_MANAGERINDEX_WEIGHT_ALPHA_2,"Alpha(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、Underlying_Index、IndexBelong
f_info_managerindex_weight_beta,F_INFO_MANAGERINDEX_WEIGHT_BETA,"Beta(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、TopN、Underlying_Index、IndexBelong
f_info_managerindex_weight_beta_2,F_INFO_MANAGERINDEX_WEIGHT_BETA_2,"Beta(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、Underlying_Index、IndexBelong
f_info_managerindex_weight_maxdownside,F_INFO_MANAGERINDEX_WEIGHT_MAXDOWNSIDE,基金经理指数最大回撤(规模加权),StartDate、EndDate、TopN、IndexBelong
f_info_managerindex_weight_maxdownside_2,F_INFO_MANAGERINDEX_WEIGHT_MAXDOWNSIDE_2,基金经理指数最大回撤(规模加权),StartDate、EndDate、IndexBelong
f_info_managerindex_weight_return,F_INFO_MANAGERINDEX_WEIGHT_RETURN,基金经理指数区间回报(规模加权),StartDate、EndDate、TopN、IndexBelong
f_info_managerindex_weight_return_2,F_INFO_MANAGERINDEX_WEIGHT_RETURN_2,基金经理指数区间回报(规模加权),StartDate、EndDate、IndexBelong
f_info_managerindex_weight_sharpe,F_INFO_MANAGERINDEX_WEIGHT_SHARPE,"Sharpe(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、TopN、IndexBelong
f_info_managerindex_weight_sharpe_2,F_INFO_MANAGERINDEX_WEIGHT_SHARPE_2,"Sharpe(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、IndexBelong
f_info_managerindex_weight_stdev,F_INFO_MANAGERINDEX_WEIGHT_STDEV,基金经理指数收益标准差(规模加权),StartDate、EndDate、CalcTerm、CalcMethod、TopN、IndexBelong
f_info_managerindex_weight_stdevyearly,F_INFO_MANAGERINDEX_WEIGHT_STDEVYEARLY,基金经理指数年化波动率(规模加权),StartDate、EndDate、CalcTerm、CalcMethod、TopN、IndexBelong
f_info_managerindex_weight_treynor,F_INFO_MANAGERINDEX_WEIGHT_TREYNOR,"Treynor(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、TopN、Underlying_Index、IndexBelong
f_info_managerindex_weight_treynor_2,F_INFO_MANAGERINDEX_WEIGHT_TREYNOR_2,"Treynor(基金经理指数,规模加权)",StartDate、EndDate、CalcTerm、CalcMethod、No_Risk_Yield、Underlying_Index、IndexBelong
f_info_managerintergrity,F_INFO_MANAGERINTERGRITY,管理人是否存在诚信信息,
f_info_managernoticeinfo,F_INFO_MANAGERNOTICEINFO,管理人是否存在提示信息,
f_info_managersbuyamount,F_INFO_MANAGERSBUYAMOUNT,管理人参与金额,UnitVal
f_info_managescaleinterval,F_INFO_MANAGESCALEINTERVAL,协会备案管理人在管规模,ManagementType
f_info_marketanalysis,F_INFO_MARKETANALYSIS,市场分析,REPORTDATE、Year
f_info_marketoutlook,F_INFO_MARKETOUTLOOK,市场展望,DEALDATE、Year
f_info_marketrisk,F_INFO_MARKETRISK,市场风险提示,
f_info_massredemptionprovision,F_INFO_MASSREDEMPTIONPROVISION,巨额赎回条款,
f_info_maturitydate,F_INFO_MATURITYDATE,基金到期日,
f_info_maturitydate_2,F_INFO_MATURITYDATE_2,基金到期日,
f_info_maxsubscripamount,F_INFO_MAXSUBSCRIPAMOUNT,委托金额上限,
f_info_maxworkingyears,F_INFO_MAXWORKINGYEARS,基金经理最大年限,
f_info_mgntfeeexplain,F_INFO_MGNTFEEEXPLAIN,管理费说明,
f_info_mgrcomp,F_INFO_MGRCOMP,基金管理人,
f_info_minaddbuyamount,F_INFO_MINADDBUYAMOUNT,追加认购最低金额,
f_info_minaipdiscounts,F_INFO_MINAIPDISCOUNTS,最低定投折扣,
f_info_minbuyamount,F_INFO_MINBUYAMOUNT,最低参与金额,UnitVal
f_info_minholdingperiod,F_INFO_MINHOLDINGPERIOD,基金最短持有期,
f_info_minpurchasediscounts,F_INFO_MINPURCHASEDISCOUNTS,最低申购折扣,
f_info_morningstarfundtype,F_INFO_MORNINGSTARFUNDTYPE,晨星基金类型,
f_info_name,F_INFO_NAME,基金简称,
f_info_name_official,F_INFO_NAME_OFFICIAL,基金简称(官方),
f_info_networkcashbuyenddate,F_INFO_NETWORKCASHBUYENDDATE,网上现金认购截止日,
f_info_networkcashbuysharedownlimit,F_INFO_NETWORKCASHBUYSHAREDOWNLIMIT,网上现金认购份额下限,
f_info_networkcashbuyshareuplimit,F_INFO_NETWORKCASHBUYSHAREUPLIMIT,网上现金认购份额上限,
f_info_networkcashbuystartdate,F_INFO_NETWORKCASHBUYSTARTDATE,网上现金认购起始日,
f_info_numofopendays,F_INFO_NUMOFOPENDAYS,定开基金已开放次数,
f_info_offnetworkbuyenddate,F_INFO_OFFNETWORKBUYENDDATE,网下现金认购截止日,
f_info_offnetworkbuystartdate,F_INFO_OFFNETWORKBUYSTARTDATE,网下现金认购起始日,
f_info_offnetworkcashbuysharedownlimit,F_INFO_OFFNETWORKCASHBUYSHAREDOWNLIMIT,网下现金认购份额下限,
f_info_offnetworkstockbuyenddate,F_INFO_OFFNETWORKSTOCKBUYENDDATE,网下股票认购截止日,
f_info_offnetworkstockbuysharedownlimit,F_INFO_OFFNETWORKSTOCKBUYSHAREDOWNLIMIT,网下股票认购份额下限,
f_info_offnetworkstockbuystartdate,F_INFO_OFFNETWORKSTOCKBUYSTARTDATE,网下股票认购起始日,
f_info_onlinecashofferingsymbol,F_INFO_ONLINECASHOFFERINGSYMBOL,网上现金发售代码,
f_info_opendayillus,F_INFO_OPENDAYILLUS,开放日说明,
f_info_opendays,F_INFO_OPENDAYS,定开基金开放日(支持历史),N
f_info_operateperiod_cls,F_INFO_OPERATEPERIOD_CLS,封闭运作期,
f_info_operationmode,F_INFO_OPERATIONMODE,产品运作方式,
f_info_operationtype,F_INFO_OPERATIONTYPE,运作模式,
f_info_otherrisks,F_INFO_OTHERRISKS,其他风险提示,
f_info_pairconversion,F_INFO_PAIRCONVERSION,是否配对转换,
f_info_parvalue,F_INFO_PARVALUE,面值(新增),
f_info_pchconfirmdate,F_INFO_PCHCONFIRMDATE,申购确认日,
f_info_pchmstatus,F_INFO_PCHMSTATUS,申购状态,TRADEDATE
f_info_pchquerydate,F_INFO_PCHQUERYDATE,申购确认查询天数,
f_info_pequotationcode,F_INFO_PEQUOTATIONCODE,机构间私募产品报价系统编码,
f_info_performancefeemethod,F_INFO_PERFORMANCEFEEMETHOD,业绩报酬提取方法,
f_info_performancefeeornot,F_INFO_PERFORMANCEFEEORNOT,是否提取业绩报酬,
f_info_periodtype,F_INFO_PERIODTYPE,期限类型,
f_info_plantype,F_INFO_PLANTYPE,计划类型,
f_info_pledgableornot,F_INFO_PLEDGABLEORNOT,是否可质押,
f_info_postbondtype,F_INFO_POSTBONDTYPE,基金债券券种配置事后分类,
f_info_postinvestregiontype,F_INFO_POSTINVESTREGIONTYPE,基金股票投资区域事后分类,
f_info_postinvesttype,F_INFO_POSTINVESTTYPE,基金投资类型事后分类,FundGroup
f_info_poststockindustrytype,F_INFO_POSTSTOCKINDUSTRYTYPE,基金股票行业事后分类,
f_info_predfundmanager,F_INFO_PREDFUNDMANAGER,基金经理(历任)(新增),
f_info_primarydealers,F_INFO_PRIMARYDEALERS,一级交易商,
f_info_prioritybeneficialamount,F_INFO_PRIORITYBENEFICIALAMOUNT,优先受益权金额,UnitVal
f_info_prioritytogeneral,F_INFO_PRIORITYTOGENERAL,受托资金比(优先/一般),
f_info_prodtype_wind,F_INFO_PRODTYPE_WIND,Wind产品类型,
f_info_prodtypeoc_wind,F_INFO_PRODTYPEOC_WIND,Wind封闭式开放式基金分类,
f_info_ptm,F_INFO_PTM,剩余存续期,
f_info_ptmday,F_INFO_PTMDAY,剩余存续期(新增),
f_info_ptmyear,F_INFO_PTMYEAR,基金存续期(新增),
f_info_purchaseandredemptionabbreviation,F_INFO_PURCHASEANDREDEMPTIONABBREVIATION,申购赎回简称,
f_info_purchasedate,F_INFO_PURCHASEDATE,开放式基金申购起始日,
f_info_purchasefee,F_INFO_PURCHASEFEE,申购费率,TYPE
f_info_purchasefee2,F_INFO_PURCHASEFEE2,申购费率(支持历史),Charges_Type、TRADEDATE
f_info_purchasefeeratio,F_INFO_PURCHASEFEERATIO,最高申购费率,
f_info_qsimilarproductsimilarranking,F_INFO_QSIMILARPRODUCTSIMILARRANKING,规模同类排名（券商集合理财）,ATTRIBUTE
f_info_raisingmode,F_INFO_RAISINGMODE,募集方式,
f_info_recognitiondate,F_INFO_RECOGNITIONDATE,互认基金批复日期,
f_info_redemptionfee,F_INFO_REDEMPTIONFEE,赎回费率,TYPE
f_info_redemptionfee2,F_INFO_REDEMPTIONFEE2,赎回费率(支持历史),Charges_Type、TRADEDATE
f_info_redemptionfeeratio,F_INFO_REDEMPTIONFEERATIO,最高赎回费率,
f_info_redemptionrisk,F_INFO_REDEMPTIONRISK,赎回风险提示,
f_info_redmarrialdate,F_INFO_REDMARRIALDATE,赎回划款日,
f_info_redmconfirmdate,F_INFO_REDMCONFIRMDATE,赎回确认日,
f_info_redmquerydate,F_INFO_REDMQUERYDATE,赎回确认查询天数,
f_info_redmstartdate,F_INFO_REDMSTARTDATE,赎回起始日(新增),
f_info_redmstatus,F_INFO_REDMSTATUS,赎回状态,TRADEDATE
f_info_regulopenfundornot,F_INFO_REGULOPENFUNDORNOT,是否定期开放基金,
f_info_reitsasname,F_INFO_REITSASNAME,资产名称,TopN
f_info_reitsassetcity,F_INFO_REITSASSETCITY,项目资产所在城市,
f_info_reitscomname,F_INFO_REITSCOMNAME,项目公司名称,TopN
f_info_reitsdisc,F_INFO_REITSDISC,初始折现率,
f_info_reitsdistramountf,F_INFO_REITSDISTRAMOUNTF,可供分配金额(预测),REPORTDATE、UnitVal
f_info_reitsdprf,F_INFO_REITSDPRF,派息率(预测),REPORTDATE
f_info_reitsevalue,F_INFO_REITSEVALUE,资产估值,Year、UnitVal
f_info_reitsfmam,F_INFO_REITSFMAM,网下基金公司或其资管机构配售金额,UnitVal
f_info_reitsfmar,F_INFO_REITSFMAR,网下基金公司或其资管计划配售份额占比,
f_info_reitsfmas,F_INFO_REITSFMAS,网下基金公司或其资管计划配售数量,UnitVal
f_info_reitsfmm,F_INFO_REITSFMM,网下基金公司或其资管子公司配售金额,UnitVal
f_info_reitsfmr,F_INFO_REITSFMR,网下基金公司或其资管子公司配售份额占比,
f_info_reitsfms,F_INFO_REITSFMS,网下基金公司或其资管子公司配售数量,UnitVal
f_info_reitsinfo,F_INFO_REITSINFO,项目介绍,
f_info_reitsirr,F_INFO_REITSIRR,初始内部收益率,
f_info_reitsism,F_INFO_REITSISM,网下保险资金投资账户配售金额,UnitVal
f_info_reitsisr,F_INFO_REITSISR,网下保险资金投资账户配售份额占比,
f_info_reitsiss,F_INFO_REITSISS,网下保险资金投资账户配售数量,UnitVal
f_info_reitsissuesize,F_INFO_REITSISSUESIZE,发行规模,UnitVal
f_info_reitslimitedshare,F_INFO_REITSLIMITEDSHARE,限售份额,DATE、UnitVal
f_info_reitslimitedshareft,F_INFO_REITSLIMITEDSHAREFT,场内限售份额,TRADEDATE、UnitVal
f_info_reitslisteddate,F_INFO_REITSLISTEDDATE,REITs上市日期,
f_info_reitslocation,F_INFO_REITSLOCATION,资产所在地,TopN
f_info_reitsoffendate,F_INFO_REITSOFFENDATE,网下发售截止日,
f_info_reitsoffshare,F_INFO_REITSOFFSHARE,网下配售份额,UnitVal
f_info_reitsoffsharera,F_INFO_REITSOFFSHARERA,网下配售份额占比,
f_info_reitsoffstdate,F_INFO_REITSOFFSTDATE,网下发售起始日,
f_info_reitsoiratio,F_INFO_REITSOIRATIO,网下投资方认购比例,
f_info_reitsoishare,F_INFO_REITSOISHARE,网下认购份额,UnitVal
f_info_reitsoprisk,F_INFO_REITSOPRISK,项目运营风险,
f_info_reitsorcom,F_INFO_REITSORCOM,原始权益人企业性质,TopN
f_info_reitsoriginal,F_INFO_REITSORIGINAL,原始权益人,TopN
f_info_reitsoriginalequityratio,F_INFO_REITSORIGINALEQUITYRATIO,原始权益人或其同一控制下关联方配售份额占总份额比例,
f_info_reitsoriginalequityshare,F_INFO_REITSORIGINALEQUITYSHARE,原始权益人或其同一控制下关联方配售份额,UnitVal
f_info_reitsothersiratio,F_INFO_REITSOTHERSIRATIO,其他战略投资者配售份额占总份额比例,
f_info_reitsothersishare,F_INFO_REITSOTHERSISHARE,其他战略投资者配售份额,UnitVal
f_info_reitspbendate,F_INFO_REITSPBENDATE,公众发售截止日,
f_info_reitspbshare,F_INFO_REITSPBSHARE,公众配售份额,UnitVal
f_info_reitspbsharera,F_INFO_REITSPBSHARERA,公众配售份额占比,
f_info_reitspbstdate,F_INFO_REITSPBSTDATE,公众发售起始日,
f_info_reitspfm,F_INFO_REITSPFM,网下私募基金配售金额,UnitVal
f_info_reitspfr,F_INFO_REITSPFR,网下私募基金配售份额占比,
f_info_reitspfs,F_INFO_REITSPFS,网下私募基金配售数量,UnitVal
f_info_reitspim,F_INFO_REITSPIM,网下机构自营投资账户配售金额,UnitVal
f_info_reitspir,F_INFO_REITSPIR,网下机构自营投资账户配售份额占比,
f_info_reitspiratio,F_INFO_REITSPIRATIO,公众投资方认购比例,
f_info_reitspis,F_INFO_REITSPIS,网下机构自营投资账户配售数量,UnitVal
f_info_reitspishare,F_INFO_REITSPISHARE,公众认购份额,UnitVal
f_info_reitspricemax,F_INFO_REITSPRICEMAX,询价区间上限,
f_info_reitspricemin,F_INFO_REITSPRICEMIN,询价区间下限,
f_info_reitspropmgmt,F_INFO_REITSPROPMGMT,REITs运营管理机构,
f_info_reitsqfm,F_INFO_REITSQFM,网下QFII投资账户配售金额,UnitVal
f_info_reitsqfr,F_INFO_REITSQFR,网下QFII投资账户配售份额占比,
f_info_reitsqfs,F_INFO_REITSQFS,网下QFII投资账户配售数量,UnitVal
f_info_reitsrproperty,F_INFO_REITSRPROPERTY,项目属性,
f_info_reitsscm,F_INFO_REITSSCM,网下证券公司集合资产管理计划配售金额,UnitVal
f_info_reitsscr,F_INFO_REITSSCR,网下证券公司集合资产管理计划配售份额占比,
f_info_reitsscs,F_INFO_REITSSCS,网下证券公司集合资产管理计划配售数量,UnitVal
f_info_reitsscsm,F_INFO_REITSSCSM,网下证券公司单一资产管理计划配售金额,UnitVal
f_info_reitsscsr,F_INFO_REITSSCSR,网下证券公司单一资产管理计划配售份额占比,
f_info_reitsscss,F_INFO_REITSSCSS,网下证券公司单一资产管理计划配售数量,UnitVal
f_info_reitssiendate,F_INFO_REITSSIENDATE,战略发售截止日,
f_info_reitssiratio,F_INFO_REITSSIRATIO,战略投资方认购比例,
f_info_reitssishare,F_INFO_REITSSISHARE,战略配售份额,UnitVal
f_info_reitssisharera,F_INFO_REITSSISHARERA,战略配售份额占比,
f_info_reitssisharesub,F_INFO_REITSSISHARESUB,战略投资方认购份额,UnitVal
f_info_reitssistdate,F_INFO_REITSSISTDATE,战略发售起始日,
f_info_reitsspmanager,F_INFO_REITSSPMANAGER,专项计划管理人,TRADEDATE
f_info_reitstrm,F_INFO_REITSTRM,网下集合信托计划配售金额,UnitVal
f_info_reitstrr,F_INFO_REITSTRR,网下集合信托计划配售份额占比,
f_info_reitstrs,F_INFO_REITSTRS,网下集合信托计划配售数量,UnitVal
f_info_reitstype,F_INFO_REITSTYPE,资产类型,
f_info_reitsvaag,F_INFO_REITSVAAG,资产评估机构,
f_info_reitsvalin,F_INFO_REITSVALIN,初始估值,UnitVal
f_info_relatedcode,F_INFO_RELATEDCODE,关联基金代码,
f_info_returnenddate,F_INFO_RETURNENDDATE,收益终止日,
f_info_returnstartdate,F_INFO_RETURNSTARTDATE,收益起始日,
f_info_risklevel,F_INFO_RISKLEVEL,基金风险等级,
f_info_risklevelfiling,F_INFO_RISKLEVELFILING,基金风险等级(公告口径),TRADEDATE
f_info_riskreturn_characters,F_INFO_RISKRETURN_CHARACTERS,风险收益特征,TRADEDATE
f_info_salefeeratio,F_INFO_SALEFEERATIO,销售服务费率,
f_info_salefeeratio2,F_INFO_SALEFEERATIO2,销售服务费率(支持历史),TRADEDATE
f_info_scaleranking,F_INFO_SCALERANKING,规模同类排名,ATTRIBUTE
f_info_secondinveststrategy,F_INFO_SECONDINVESTSTRATEGY,投资策略分类(二级)(私募),
f_info_securitiesbroker,F_INFO_SECURITIESBROKER,证券经纪人,
f_info_settlementmode,F_INFO_SETTLEMENTMODE,交易结算模式,
f_info_setupdate,F_INFO_SETUPDATE,基金成立日,
f_info_sidepocketfundornot,F_INFO_SIDEPOCKETFUNDORNOT,是否使用侧袋机制,
f_info_similarfundno,F_INFO_SIMILARFUNDNO,同类基金数量,ATTRIBUTE
f_info_smfacode,F_INFO_SMFACODE,分级基金优先级代码,
f_info_smfbcode,F_INFO_SMFBCODE,分级基金普通级代码,
f_info_smfcode,F_INFO_SMFCODE,分级基金母基金代码,
f_info_smftype,F_INFO_SMFTYPE,分级基金类别,
f_info_smftype2,F_INFO_SMFTYPE2,基金分级类型,
f_info_spenotice,F_INFO_SPENOTICE,基金特别提示信息,
f_info_splitratio,F_INFO_SPLITRATIO,拆分比率,
f_info_startdateofclosure,F_INFO_STARTDATEOFCLOSURE,定开基金封闭起始日,TRADEDATE
f_info_structuredfundornot,F_INFO_STRUCTUREDFUNDORNOT,是否分级基金(新增),
f_info_structuredornot,F_INFO_STRUCTUREDORNOT,是否结构化产品,
f_info_subenddate,F_INFO_SUBENDDATE,销售截止日期,
f_info_subscriptionfee,F_INFO_SUBSCRIPTIONFEE,认购费率,TYPE
f_info_subscriptionfee2,F_INFO_SUBSCRIPTIONFEE2,认购费率(支持历史),Charges_Type、TRADEDATE
f_info_substartdate,F_INFO_SUBSTARTDATE,销售起始日期,
f_info_targetscale,F_INFO_TARGETSCALE,目标规模,UnitVal
f_info_technicalrisk,F_INFO_TECHNICALRISK,技术风险提示,
f_info_themetype,F_INFO_THEMETYPE,所属主题基金类别,
f_info_themetype_concept,F_INFO_THEMETYPE_CONCEPT,所属主题基金类别(Wind概念),
f_info_themetype_index,F_INFO_THEMETYPE_INDEX,所属主题基金类别(Wind股票指数),
f_info_themetype_industry,F_INFO_THEMETYPE_INDUSTRY,所属主题基金类别(Wind行业),
f_info_thirdpartyfundtype,F_INFO_THIRDPARTYFUNDTYPE,第三方基金分类,ORG
f_info_trackdeviation_threshold,F_INFO_TRACKDEVIATION_THRESHOLD,日均跟踪偏离度阀值(业绩基准),
f_info_trackerror_threshold,F_INFO_TRACKERROR_THRESHOLD,年化跟踪误差阀值(业绩基准),
f_info_trackindexcode,F_INFO_TRACKINDEXCODE,跟踪指数代码,
f_info_trackindexname,F_INFO_TRACKINDEXNAME,跟踪指数名称,
f_info_trustee,F_INFO_TRUSTEE,受托人,
f_info_trusteemgntfee,F_INFO_TRUSTEEMGNTFEE,受托人固定管理费率,
f_info_trusttype,F_INFO_TRUSTTYPE,信托类别,
f_info_type,F_INFO_TYPE,基金类型,
f_info_underlyingtarget,F_INFO_UNDERLYINGTARGET,收益挂钩标的,
f_info_updiscount,F_INFO_UPDISCOUNT,向上触点折算条款,
f_info_upperbenchmark,F_INFO_UPPERBENCHMARK,业绩比较基准上限,
f_info_valuationmethod,F_INFO_VALUATIONMETHOD,基金估值方法,
f_info_warrantor,F_INFO_WARRANTOR,保证人,
f_info_warrantorintroduction,F_INFO_WARRANTORINTRODUCTION,保证人简介,
f_info_windcode,F_INFO_WINDCODE,Wind代码,
f_info_wmissuer,F_INFO_WMISSUER,银行理财发行人,
f_info_yieldtype,F_INFO_YIELDTYPE,收益类型,
f_info_yinhefundtype,F_INFO_YINHEFUNDTYPE,银河基金类型,
f_ipo_anncelstdate,F_IPO_ANNCELSTDATE,上市公告日,
f_issue_announcedate,F_ISSUE_ANNOUNCEDATE,发行公告日,
f_issue_cef_inipurchase,F_ISSUE_CEF_INIPURCHASE,封闭式基金认购数量(新增),
f_issue_cef_listdate,F_ISSUE_CEF_LISTDATE,封闭式基金上市日期(新增),
f_issue_cef_npctchange,F_ISSUE_CEF_NPCTCHANGE,基金上市后N日涨跌幅(新增),N
f_issue_cef_nturn,F_ISSUE_CEF_NTURN,基金上市后N日换手率(新增),N
f_issue_cef_oversub,F_ISSUE_CEF_OVERSUB,封闭式基金超额认购倍数(新增),
f_issue_cef_pctchange,F_ISSUE_CEF_PCTCHANGE,基金上市首日涨跌幅(新增),
f_issue_cef_succratio,F_ISSUE_CEF_SUCCRATIO,封闭式基金中签率(新增),
f_issue_cef_turn,F_ISSUE_CEF_TURN,基金上市首日换手率(新增),
f_issue_channel,F_ISSUE_CHANNEL,产品发行渠道,
f_issue_coordinator,F_ISSUE_COORDINATOR,基金发行协调人(新增),
f_issue_date,F_ISSUE_DATE,发行日期(新增),
f_issue_deputy,F_ISSUE_DEPUTY,基金销售代理人(新增),
f_issue_financeconsultant,F_ISSUE_FINANCECONSULTANT,财务顾问,TopN
f_issue_initiator,F_ISSUE_INITIATOR,基金发起人(新增),
f_issue_leadunderwriter,F_ISSUE_LEADUNDERWRITER,基金主承销商(新增),
f_issue_nominator,F_ISSUE_NOMINATOR,基金上市推荐人(新增),
f_issue_object,F_ISSUE_OBJECT,发行对象(新增),
f_issue_oef_clsperiod,F_ISSUE_OEF_CLSPERIOD,发行封闭期(新增),
f_issue_oef_cndnetpurchase,F_ISSUE_OEF_CNDNETPURCHASE,成立条件-净认购份额,UnitVal
f_issue_oef_cndpurchasers,F_ISSUE_OEF_CNDPURCHASERS,成立条件-认购户数(新增),
f_issue_oef_confirmratio,F_ISSUE_OEF_CONFIRMRATIO,认购份额确认比例,
f_issue_oef_days,F_ISSUE_OEF_DAYS,认购天数,
f_issue_oef_dnddateinst,F_ISSUE_OEF_DNDDATEINST,机构投资者设立认购终止日(新增),
f_issue_oef_enddateind,F_ISSUE_OEF_ENDDATEIND,个人投资者认购终止日(新增),
f_issue_oef_maxamtind,F_ISSUE_OEF_MAXAMTIND,个人投资者认购金额上限(新增),
f_issue_oef_maxamtinst,F_ISSUE_OEF_MAXAMTINST,封闭期机构投资者认购上限(新增),
f_issue_oef_maxcollection,F_ISSUE_OEF_MAXCOLLECTION,募集份额上限,UnitVal
f_issue_oef_minamtind,F_ISSUE_OEF_MINAMTIND,个人投资者认购金额下限(新增),
f_issue_oef_minamtinst,F_ISSUE_OEF_MINAMTINST,封闭期机构投资者认购下限(新增),
f_issue_oef_mthdind,F_ISSUE_OEF_MTHDIND,个人投资者认购方式(新增),
f_issue_oef_mthdinst,F_ISSUE_OEF_MTHDINST,封闭期机构投资者认购方式(新增),
f_issue_oef_numpurchasers,F_ISSUE_OEF_NUMPURCHASERS,开放式基金认购户数(新增),
f_issue_oef_startdateind,F_ISSUE_OEF_STARTDATEIND,个人投资者认购起始日(新增),
f_issue_oef_startdateinst,F_ISSUE_OEF_STARTDATEINST,机构投资者设立认购起始日(新增),
f_issue_price,F_ISSUE_PRICE,上市基金发行价格(新增),
f_issue_rasing_isenddeferred,F_ISSUE_RASING_ISENDDEFERRED,是否延长募集期,
f_issue_rasing_isendearly,F_ISSUE_RASING_ISENDEARLY,是否提前结束募集,
f_issue_rasing_isstartdeferred,F_ISSUE_RASING_ISSTARTDEFERRED,是否延期募集,
f_issue_rasing_isstartearly,F_ISSUE_RASING_ISSTARTEARLY,是否提前开始募集,
