分类,字段代码,字段(大写),中文名,有效,命中品种,样例值,备注
财务-偿债/营运,faturn,FATURN,固定资产周转率,是,600519.SH(股),,
财务-偿债/营运,ocftodebt,OCFTODEBT,经营现金流/负债,是,600519.SH(股),,
财务-偿债/营运,ocftointerest,OCFTOINTEREST,经营现金流/利息,是,600519.SH(股),,
财务-偿债/营运,catoassets,CATOASSETS,流动资产占比,是,600519.SH(股),,
财务-报表,tot_assets,TOT_ASSETS,资产总计,是,600519.SH(股),,
财务-报表,tot_liab,TOT_LIAB,负债合计,是,600519.SH(股),,
财务-报表,tot_equity,TOT_EQUITY,所有者权益合计,是,600519.SH(股),,
财务-报表,monetary_cap,MONETARY_CAP,货币资金,是,600519.SH(股),,
财务-报表,acct_rcv,ACCT_RCV,应收账款,是,600519.SH(股),,
财务-报表,inventories,INVENTORIES,存货,是,600519.SH(股),,
财务-报表,fix_assets,FIX_ASSETS,固定资产,是,600519.SH(股),,
财务-报表,tot_cur_assets,TOT_CUR_ASSETS,流动资产合计,是,600519.SH(股),,
财务-报表,tot_cur_liab,TOT_CUR_LIAB,流动负债合计,是,600519.SH(股),,
财务-报表,tot_oper_rev,TOT_OPER_REV,营业总收入,是,600519.SH(股),,
财务-报表,oper_rev,OPER_REV,营业收入,是,600519.SH(股),,
财务-报表,tot_oper_cost,TOT_OPER_COST,营业总成本,是,600519.SH(股),,
财务-报表,oper_cost,OPER_COST,营业成本,是,600519.SH(股),,
财务-报表,net_profit_is,NET_PROFIT_IS,净利润(报表),是,600519.SH(股),,
财务-报表,net_cash_flows_oper_act,NET_CASH_FLOWS_OPER_ACT,经营活动现金流净额,是,600519.SH(股),,
财务-报表,net_incr_cash_cash_equ_dm,NET_INCR_CASH_CASH_EQU_DM,现金及等价物净增加,是,600519.SH(股),,
股本/股东,total_shares,TOTAL_SHARES,总股本,是,600519.SH(股),1250081601.0,
股本/股东,float_a_shares,FLOAT_A_SHARES,流通A股,是,600519.SH(股),1250081601.0,
股本/股东,free_float_shares,FREE_FLOAT_SHARES,自由流通股本,是,600519.SH(股),540948978.0,
股本/股东,holder_num,HOLDER_NUM,股东户数,是,600519.SH(股),243159.0,
股本/股东,holder_avgnum,HOLDER_AVGNUM,户均持股,是,600519.SH(股),,
股本/股东,share_rtd_state,SHARE_RTD_STATE,限售股状态,是,600519.SH(股),0.0,
股本/股东,mrg_long_amt,MRG_LONG_AMT,融资余额,是,600519.SH(股),717452159.0,
股本/股东,share_totala,SHARE_TOTALA,A股总股本,是,600519.SH(股),1250081601.0,
股本/股东,free_float_shares_ratio,FREE_FLOAT_SHARES_RATIO,自由流通比例,否,,,"{""detail"":""Wind 取数失败：-40522006""}"
股本/股东,holder_top10quantity,HOLDER_TOP10QUANTITY,前十大股东持股,是,600519.SH(股),,
基本资料,sec_name,SEC_NAME,证券简称,是,600519.SH(股),贵州茅台,
基本资料,sec_englishname,SEC_ENGLISHNAME,英文简称,是,600519.SH(股),KWEICHOW MOUTAI,
基本资料,sec_type,SEC_TYPE,证券类型,是,600519.SH(股),普通股,
基本资料,sec_status,SEC_STATUS,上市状态,是,600519.SH(股),L,
基本资料,ipo_date,IPO_DATE,上市日期,是,600519.SH(股),2001-08-27T00:00:00,
基本资料,delist_date,DELIST_DATE,退市日期,是,600519.SH(股),1899-12-30T00:00:00,
基本资料,exch_city,EXCH_CITY,交易所,是,600519.SH(股),上海,
基本资料,industry_sw,INDUSTRY_SW,申万行业,是,600519.SH(股),,
基本资料,industry_citic,INDUSTRY_CITIC,中信行业,是,600519.SH(股),,
基本资料,industry_gics,INDUSTRY_GICS,GICS行业,是,600519.SH(股),,
基本资料,windcode,WINDCODE,Wind代码,是,600519.SH(股),600519.SH,
基本资料,trade_code,TRADE_CODE,交易代码,是,600519.SH(股),600519,
基本资料,ipo_listdate,IPO_LISTDATE,上市日期(IPO),否,,,"{""detail"":""Wind 取数失败：-40522006""}"
基本资料,mfprice,MFPRICE,发行价格,是,600519.SH(股),,
基本资料,ipo_price,IPO_PRICE,发行价,是,600519.SH(股),31.39,
债券,ytm_b,YTM_B,到期收益率,是,600519.SH(股),,
债券,duration,DURATION,久期,是,600519.SH(股),,
债券,convexity,CONVEXITY,凸性,是,600519.SH(股),,
债券,modidura_cnbd,MODIDURA_CNBD,修正久期,是,600519.SH(股),,
债券,accruedinterest,ACCRUEDINTEREST,应计利息,是,600519.SH(股),,
债券,couponrate,COUPONRATE,票面利率,是,600519.SH(股),,
债券,ptmyear,PTMYEAR,剩余期限(年),是,600519.SH(股),,
债券,issueamount,ISSUEAMOUNT,发行总额,是,600519.SH(股),,
预测/评级,west_eps_ftm,WEST_EPS_FTM,预测EPS(FTM),是,600519.SH(股),71.1365,
预测/评级,west_netprofit_ftm,WEST_NETPROFIT_FTM,预测净利润(FTM),是,600519.SH(股),88926458647.0,
预测/评级,west_avgroe_ftm_chn,WEST_AVGROE_FTM_CHN,预测ROE(FTM),否,,,"{""detail"":""Wind 取数失败：-40522006""}"
预测/评级,rating_avg,RATING_AVG,综合评级,是,600519.SH(股),1.2353,
预测/评级,rating_instnum,RATING_INSTNUM,评级机构数,是,600519.SH(股),51.0,
预测/评级,west_sales_ftm,WEST_SALES_FTM,预测营收(FTM),是,600519.SH(股),184179085517.0,
预测/评级,targetprice_avg,TARGETPRICE_AVG,目标价(均值),是,600519.SH(股),,
